te,td,sa,da,sp,dp,pr,flg,fwd,stos,pkt,byt,lable,byt-1,teT,teS,teDelta
2016-04-11 00:03:27,0.32,42.219.158.251,194.233.77.167,80,39399,TCP,.AP.S.,0,0,7,6396,background,2,0,207,0
2016-04-11 00:03:27,0.488,194.233.77.167,42.219.158.251,39399,80,TCP,.AP.S.,0,0,8,762,background,6396,0,207,0
2016-04-11 00:03:42,0.0,42.219.158.251,194.233.77.167,80,39399,TCP,.A...F,0,0,1,52,background,762,0,222,15
2016-04-11 00:03:42,0.136,194.233.77.167,42.219.158.251,39399,80,TCP,.A...F,0,0,2,104,background,52,0,222,0
2016-04-11 00:04:39,0.0,54.143.54.70,42.219.158.251,2471,80,TCP,....S.,0,42,1,48,background,104,0,279,57
2016-04-11 00:04:41,1.416,42.219.158.251,54.143.54.70,80,2471,TCP,.AP.SF,0,0,10,9115,background,48,0,281,2
2016-04-11 00:04:41,1.416,54.143.54.70,42.219.158.251,2471,80,TCP,.AP..F,0,40,8,651,background,9115,0,281,0
2016-04-11 00:04:55,14.556,42.219.158.251,194.233.77.183,80,61713,TCP,.AP.SF,0,0,4,784,background,651,0,295,14
2016-04-11 00:04:55,14.688,194.233.77.183,42.219.158.251,61713,80,TCP,.AP.SF,0,0,6,553,background,784,0,295,0
2016-04-11 00:04:56,15.08,42.219.158.251,194.233.77.167,80,38942,TCP,.AP.SF,0,0,8,6428,background,553,0,296,1
2016-04-11 00:04:56,15.212,194.233.77.167,42.219.158.251,38942,80,TCP,.AP.SF,0,0,10,855,background,6428,0,296,0
2016-04-11 00:06:18,0.0,176.116.195.149,42.219.158.251,5185,5074,UDP,.A....,0,40,1,440,background,855,0,378,82
2016-04-11 00:06:31,0.0,102.216.44.67,42.219.158.251,30225,80,TCP,....S.,0,26,1,60,background,440,0,391,13
2016-04-11 00:06:31,0.172,42.219.158.251,102.216.44.67,80,30225,TCP,.AP.SF,0,0,7,4735,background,60,0,391,0
2016-04-11 00:06:31,0.17600000000000002,102.216.44.67,42.219.158.251,30225,80,TCP,.AP..F,0,24,8,633,background,4735,0,391,0
2016-04-11 00:07:39,0.0,54.143.54.214,42.219.158.251,23918,80,TCP,....S.,0,42,1,48,background,633,0,459,68
